JNAME,BNAME,RAJ,RAJ_ERR,DECJ,DECJ_ERR,F0,F0_ERR,F1,F1_ERR,P0,P0_ERR,P1,P1_ERR,DM,DM_ERR,RM,RM_ERR,DIST,ASSOC,PB,PB_ERR,BINCOMP,AGE,BSURF,EDOT,NGLT,TYPE,rm_MK,dm_MK,w50_MK,w10_MK,scatter_MK,USER,COMMENTS,CATEGORY
J1850-0026,,18:50:14.714,0.004,-00:26:11.6,0.2,6.0011789585613045,7.202829778535787e-11,-1.4082144457568642e-12,7.20282977853658e-17,0.1666339242514,2e-12,3.91017e-14,2e-18,947.0,5.0,,,6.71,,,,,67520.21554656973,2583030350011.8984,3.3363001091064535e+35,,,,,,,,,,
J1851+0418,B1848+04,18:51:03.2978,,+04:18:12.0149,,3.51250044908,3e-11,-1.343593e-14,2e-19,0.2846974724976681,2.4315795253968142e-12,1.0890177430888274e-15,1.6210530169322768e-20,115.54,0.05,86.0,15.0,4.09,,,,,4142043.858417807,563455032223.1616,1.863132997948406e+33,,,,,,,,,,
J1851+1259,B1848+12,18:51:13.2143,,+12:59:35.2883,,0.82966670116,7e-11,-7.9297e-15,5e-19,1.20530328456216,1.0169292054434322e-10,1.1519919314863976e-14,7.263780038907668e-19,70.6333,0.0017,149.8,0.1,2.64,,,,,1657726.7288001936,3770707693021.4224,2.597288268329848e+32,,,,,,,,,,
J1851-0029,,18:51:55.093,0.01,-00:29:58.1,0.5,1.9278169986397506,3.3448305422199384e-11,-1.7610904452626e-14,4.0881262182688595e-18,0.518721435025,9e-12,4.7386e-15,1.1e-18,510.0,20.0,,,5.45,,,,,1734403.661850685,1586507394693.6687,1.340316002822785e+33,1.0,,,,,,,,,
J1851-0053,,18:51:03.17,0.08,-00:53:07.3,1.9,0.70969034698,8e-11,-4.4e-16,4e-17,1.4090652412779419,1.5883718833421315e-10,8.736045358381724e-16,7.941859416710659e-17,24.0,4.0,-7.0,16.0,0.96,,,,,25555375.040762402,1122723904144.761,1.2327678830657417e+31,,,,,,,,,,
J1851-0114,,18:51:16.41,0.03,-01:14:13.4,1.3,1.0491179337,4e-11,-2.733e-15,4e-18,0.9531816851831211,3.634221299874138e-11,2.4830817031390047e-15,3.634221299874143e-18,427.2,1.4,,,5.21,,,,,6082060.228751958,1556801809576.0618,1.1319407096243213e+32,,,,,,,,,,
J1852+0008,,18:52:42.78,0.03,+00:08:09.6,0.8,2.13723569512,9e-11,-2.594e-14,3e-17,0.46789411307481127,1.9703241094505783e-11,5.678911933238667e-15,6.567747031501946e-18,254.9,1.8,,,4.32,,,,,1305414.6566353075,1649515252832.2532,2.188679284565595e+33,,,,,,,,,,
J1852+0013,,18:52:41.779,0.02,+00:13:57.1,1.2,1.04411277814,5e-11,-1.5299e-14,1.2e-17,0.9577509450477341,4.5864343636991385e-11,1.4033571866046622e-14,1.1007442472878013e-17,545.0,3.0,,,5.58,,,,,1081310.4582472728,3709884461585.277,6.3062356038600615e+32,,,,,,,,,,
J1852-0118,,18:52:17.15,0.03,-01:18:14.8,1.7,2.21497260384,1.1e-10,-8.62e-15,5e-17,0.4514728526512446,2.2421051034915766e-11,1.7569950901906719e-15,1.0191386834052622e-17,286.0,3.0,,,4.73,,,,,4071243.9893358634,901262026002.2699,7.537639478235478e+32,,,,,,,,,,
J1852-0127,,18:52:03.60,0.04,-01:27:23.4,1.4,2.33111684577,1.1e-10,-2.798e-14,4e-17,0.42897892562296086,2.0242521049149276e-11,5.148961263229062e-15,7.360916745145208e-18,431.0,3.0,,,5.71,,,,,1320025.6489192627,1503930507594.293,2.574965944925658e+33,,,,,,,,,,
