JNAME,BNAME,RAJ,RAJ_ERR,DECJ,DECJ_ERR,F0,F0_ERR,F1,F1_ERR,P0,P0_ERR,P1,P1_ERR,DM,DM_ERR,RM,RM_ERR,DIST,ASSOC,PB,PB_ERR,BINCOMP,AGE,BSURF,EDOT,NGLT,TYPE,rm_MK,dm_MK,w50_MK,w10_MK,scatter_MK,USER,COMMENTS,CATEGORY
J0034-0721,B0031-07,00:34:08.8703,0.0001,-07:21:53.409,0.002,1.0605004987209,1.9e-12,-4.59098e-16,7e-21,0.9429509945597656,1.6893974984683772e-12,4.082100067114921e-16,6.224096046988931e-21,10.922,0.006,9.89,0.07,1.03,,,,,36599193.34247739,627821758607.8699,1.9221001589575745e+31,,,0.0,0.0,0.0,0.0,0.0,aparthas,,PROFILE:DoublePeak+Symmetric;POLARIZATION:PAJump;FREQUENCY:FreqProfileEvol+Scattering;TIME:Nulling;OBSERVATION:HighSN_Above1000 
J0038-2501,,00:38:10.264,0.01,-25:01:30.73,0.02,3.8921643555216487,2.575320372966853e-11,-1.1513196961498871e-17,9.08936602223595e-20,0.2569264575329,1.7e-12,7.6e-19,6e-21,5.71,0.003,,,0.6,,,,,5356255360.5591545,14140383527.698393,1.7690774316190028e+30,,,,,,,,aparthas,,PROFILE:TriplePeak+withCentral+Symmetric;POLARIZATION:PAJump;FREQUENCY:NotSure;TIME:Stable;OBSERVATION:LowSN_0to100 
J0045-7042,,00:45:25.69,0.17,-70:42:07.1,1.3,1.5814382167961567,1.5005681001260448e-10,-6.227357615523086e-15,7.502840500630226e-17,0.63233580002,6e-11,2.49e-15,3e-17,70.0,3.0,,,59.7,EXGAL,,,,4023596.8592345403,1269765541137.0225,3.887906149067e+32,,,,,,,,aparthas,,PROFILE:DoublePeak;POLARIZATION:NotSure;FREQUENCY:NotSure;TIME:NotSure;OBSERVATION:LowSN_0to100 
J0045-7319,,00:45:35.16,0.07,-73:19:03.0,0.2,1.0795919386809352,3.4965562621945807e-11,-5.2019433031422835e-15,1.0489668786584283e-18,0.92627590497,3e-11,4.4632e-15,9e-19,105.4,0.7,-14.0,27.0,59.7,EXGAL,51.169451,5e-06,MS,3288213.8618825614,2057516544263.8838,2.2170984797698355e+32,,,,,,,,aparthas,veryweakdetection,PROFILE:NotSure;POLARIZATION:NotSure;FREQUENCY:NotSure;TIME:NotSure;OBSERVATION:LowSN_0to100 
J0108-1431,,01:08:08.347016,8.8e-05,-14:31:50.1871,0.0011,1.2382910081,3e-11,-1.1813e-16,1.8e-19,0.807564614019424,1.956481817449024e-11,7.70397323650844e-17,1.1738890904694148e-19,2.38,0.19,-0.3,0.1,0.21,,,,,166084289.3591604,252403865289.59253,5.774875954991473e+30,,,,,,,,aparthas,,PROFILE:SinglePeak+withShoulders;POLARIZATION:HighLinearPol+FlatPA;FREQUENCY:FreqProfileEvol+SteepSpectrum;TIME:Stable;OBSERVATION:HighSN_Above1000 
J0111-7131,,01:11:28.77,0.09,-71:31:46.8,0.6,1.4523452589200523,1.0546533755537769e-10,-1.495920347885477e-14,8.437227004430495e-18,0.68854151164,5e-11,7.092e-15,4e-18,76.0,3.0,,,59.7,EXGAL,,,,1538251.8249050025,2236142140867.6377,8.577052682853478e+32,,,,,,,,aparthas,,PROFILE:SinglePeak+withShoulders;POLARIZATION:NotSure;FREQUENCY:NotSure;TIME:NotSure;OBSERVATION:LowSN_0to100 
J0113-7220,,01:13:11.09,0.03,-72:20:32.20,0.15,3.068585813017896,9.4162188918547e-11,-4.5753407595521996e-14,1.412432833778233e-17,0.32588301613,1e-11,4.859e-15,1.5e-18,125.49,0.03,87.0,29.0,59.7,EXGAL,,,,1062627.0459176837,1273369054588.9224,5.542701038331635e+33,,,,,,,,aparthas,NoPAplot,PROFILE:SinglePeak+withShoulders+Narrow;POLARIZATION:NotSure;FREQUENCY:FlatSpectrum;TIME:Stable;OBSERVATION:MediumSN_100to1000 
J0131-7310,,01:31:28.51,0.03,-73:10:09.34,0.13,2.8725392936619896,5.776037395542486e-11,-1.453416038358362e-14,5.776037395542515e-18,0.348124045581,7e-12,1.7614e-15,7e-19,205.2,0.7,,,59.7,EXGAL,,,,3131425.3793987017,792402770401.2943,1.6482218348181175e+33,,,,,,,,aparthas,,PROFILE:SinglePeak+Narrow;POLARIZATION:NotSure;FREQUENCY:NotSure;TIME:Stable;OBSERVATION:LowSN_0to100 
J0133-6957,,01:33:32.46,0.01,-69:57:29.68,0.03,2.157619537032614,1.3965966199754493e-11,-5.586386479901797e-16,9.310644133169662e-19,0.463473741703,3e-12,1.2e-16,2e-19,22.948,0.008,7.0,1.0,2.44,,,,,61194152.610755146,238645455394.53424,4.758450770965691e+31,,,,,,,,aparthas,nicescintle,PROFILE:SinglePeak+withShoulders+withSteepLeading+Narrow;POLARIZATION:NotSure;FREQUENCY:Scintillation;TIME:Stable;OBSERVATION:LowSN_0to100 
J0134-2937,,01:34:18.6824,0.0003,-29:37:17.042,0.007,7.30131601293,7e-13,-4.177838e-15,1.4e-20,0.13696161051365074,1.3130937928145076e-14,7.836990207406537e-17,2.6261875856290195e-22,21.806,0.006,13.0,2.0,25.0,,,,,27689530.20386401,104839286700.90118,1.2042384185524356e+33,,,,,,,,aparthas,Interestingfrequencyphase,PROFILE:SinglePeak+withShoulders+withSteepTrailing;POLARIZATION:HighLinearPol+PAJump;FREQUENCY:FlatSpectrum;TIME:Stable;OBSERVATION:MediumSN_100to1000 
J0137+1654,,01:37:23.88,0.01,+16:54:42.1,0.4,2.411015293283934,2.9064973722245072e-12,-7.109292572461144e-17,1.7438984233347045e-19,0.4147630265082,5e-13,1.223e-17,3e-20,26.0838,0.0024,-16.8,0.1,3.06,,,,,537328176.8603541,72071444121.34375,6.766842826131918e+30,,,,,,,,aparthas,Veryweakdetection,PROFILE:NotSure;POLARIZATION:NotSure;FREQUENCY:NotSure;TIME:NotSure;OBSERVATION:LowSN_0to100 
J0151-0635,B0148-06,01:51:22.7179,0.0002,-06:35:02.987,0.002,0.682750190448,3e-12,-2.06313e-16,1.9e-20,1.464664549333674,6.435726726224444e-12,4.425913626891812e-16,4.0759602599421657e-20,25.66,0.03,2.0,4.0,25.0,,,,,52432585.41623944,814742798595.15,5.560939380224087e+30,,,,,,,,aparthas,,PROFILE:DoublePeak+withBridge;POLARIZATION:RVMLike;FREQUENCY:Scintillation+SteepSpectrum;TIME:Drifting;OBSERVATION:MediumSN_100to1000 
J0152-1637,B0149-16,01:52:10.8539,0.0001,-16:37:53.641,0.002,1.2008526831899,1.8e-12,-1.87351e-15,8e-21,0.8327416126877758,1.2482254683033076e-12,1.2992016095116276e-15,5.5476687480160676e-21,11.92577,4e-05,6.6,5.0,0.92,,,,,10155463.615522157,1052551578477.5288,8.881891938510714e+31,,,,,,,,aparthas,,PROFILE:DoublePeak+withSteepLeading+Narrow;POLARIZATION:FlatPA;FREQUENCY:SteepSpectrum;TIME:Modulation;OBSERVATION:MediumSN_100to1000 
J0206-4028,B0203-40,02:06:01.293,0.005,-40:28:03.62,0.07,1.585913888562,9e-12,-3.0095e-15,7e-19,0.6305512595685335,3.578354018491177e-12,1.1965618242943554e-15,2.783164236604252e-19,12.9,1.2,-4.0,5.0,1.26,,,,,8349323.569735966,878977480389.275,1.884229013539864e+32,,,,,,,,aparthas,,PROFILE:SinglePeak+withShoulders+Narrow;POLARIZATION:PAJump+FlatPA;FREQUENCY:Scintillation;TIME:Stable;OBSERVATION:MediumSN_100to1000 
J0211-8159,,02:11:59.0,0.3,-81:59:36.2,0.3,0.9282183663350385,6.892714684813502e-10,-2.498609073244894e-16,1.723178671203376e-17,1.0773327013,8e-10,2.9e-16,2e-17,24.36,0.03,54.0,9.0,1.52,,,,,58859678.0064128,565618881383.9651,9.156051079167073e+30,,,,,,,,aparthas,highsnrduetoscintillation,PROFILE:SinglePeak+withShoulders+withCentral;POLARIZATION:PAJump;FREQUENCY:Scintillation;TIME:Nulling+Modulation;OBSERVATION:HighSN_Above1000 
J0255-5304,B0254-53,02:55:56.2925,0.0009,-53:04:21.275,0.009,2.233596324088,1e-12,-1.561e-16,1e-19,0.44770847319884904,2.0044287697404452e-13,3.1289133095648354e-17,2.0044287697404453e-20,15.9,0.5,32.0,3.0,1.51,,,,,226708508.83662012,119768993675.79048,1.3764718241781172e+31,,,,,,,,aparthas,NodataatthestartTelescopenotonsource,PROFILE:DoublePeak+Symmetric+Narrow;POLARIZATION:NotSure;FREQUENCY:SteepSpectrum;TIME:Stable;OBSERVATION:HighSN_Above1000 
J0304+1932,B0301+19,03:04:33.115,0.016,19:32:51.4,0.8,0.7206768587625,1.4e-12,-6.72713e-16,1e-20,1.387584446262276,2.695546833712582e-12,1.2952352836766371e-15,1.9253905955090526e-20,15.65677,0.00035,-8.43,0.06,0.74,,,,,16973710.621026084,1356606904704.8684,1.9139479988708576e+31,,,,,,,,aparthas,nicepaswingandnulling,PROFILE:DoublePeak+Symmetric;POLARIZATION:HighLinearPol+RVMLike;FREQUENCY:SteepSpectrum;TIME:Nulling+Drifting;OBSERVATION:NeedMore+HighSN_Above1000 
J0343-3000,,03:43:27.94,0.03,-30:00:27.5,0.4,0.3850556576423505,1.3344107353414474e-11,-8.451267990495834e-18,1.3344107353414475e-18,2.59702715738,9e-11,5.7e-17,9e-18,20.2,0.3,45.0,12.0,1.59,,,,,721884426.4778546,389336976309.6691,1.2847100426617301e+29,,,,,,,,aparthas,,PROFILE:DoublePeak+withBridge;POLARIZATION:PAJump;FREQUENCY:Scintillation;TIME:Nulling+Modulation+Drifting;OBSERVATION:MediumSN_100to1000 
J0401-7608,B0403-76,04:01:51.75,0.03,-76:08:13.0,0.1,1.83400703758,3e-11,-5.188e-15,5e-18,0.5452541781516362,8.919063563754489e-12,1.5424033922919428e-15,1.4865105939590825e-18,21.7,0.1,19.0,0.5,1.01,,,,,5601019.280877229,928001044988.3435,3.7563037338972424e+32,,,,,,,,aparthas,Plotsneedupdating,PROFILE:Complicated;POLARIZATION:PAJump;FREQUENCY:Scintillation;TIME:Stable;OBSERVATION:HighSN_Above1000 
J0418-4154,,04:18:03.7748,0.0004,-41:54:14.42,0.06,1.32079643042,2e-11,-2.30176e-15,6e-20,0.7571189450307722,1.1464581938490188e-11,1.319435806136959e-15,3.439374581549378e-20,24.325,0.009,,,2.52,,,,,9091632.766145239,1011407495459.7275,1.200205636134392e+32,,,,,,,,aparthas,nicescintlehighsnrduetoscintillation,PROFILE:SinglePeak+withShoulders+Narrow;POLARIZATION:NotSure;FREQUENCY:Scintillation;TIME:Modulation;OBSERVATION:MediumSN_100to1000 
J0421-0345,,04:21:33.555,,-03:45:06.6036,,0.462682676962,3e-12,-2.4905e-16,3e-20,2.1613084945519363,1.4013763225867073e-11,1.1633759104673982e-15,1.4013763225867156e-19,44.61,0.09,30.0,14.0,2.2,,,,,29434911.257984024,1604605926498.4307,4.5491423039095225e+30,,,,,,,,aparthas,Telescopenotonsourceatthestart,PROFILE:SinglePeak+withShoulders+Narrow;POLARIZATION:NotSure;FREQUENCY:FlatSpectrum;TIME:Stable;OBSERVATION:LowSN_0to100 
J0437-4715,,04:37:15.8961737,6e-07,-47:15:09.110714,7e-06,173.6879458121843,5e-13,-1.728361e-15,5e-21,0.0057574519367126365,1.6574126401778046e-17,5.729214736380701e-20,1.6574126401778044e-25,2.64476,7e-05,0.58,0.09,0.15679,OPT,5.7410459,4e-07,He,1592213339.4397342,581182714.4997799,1.1851242195179168e+34,,HE,,,,,,aparthas,NotTPA,PROFILE:NotSure;POLARIZATION:NotSure;FREQUENCY:NotSure;TIME:NotSure;OBSERVATION:NotSure 
J0448-2749,,04:48:41.5659,,-27:49:46.7292,,2.220010446257,8e-12,-7.3112e-16,9e-20,0.4504483308562931,1.623229590169764e-12,1.4834695224561473e-16,1.8261332889409876e-20,26.22,0.04,-0.7,2.1,1.81,,,,,48109671.44179711,261584365578.86084,6.407718422228129e+31,,,,,,,,aparthas,outeredgeofcone,PROFILE:SinglePeak+Symmetric+Narrow;POLARIZATION:FlatPA;FREQUENCY:SteepSpectrum;TIME:Nulling;OBSERVATION:HighSN_Above1000 
J0449-7031,,04:49:05.67,0.05,-70:31:31.7,0.3,2.0869682612107163,6.097611132621234e-11,-1.468217652004727e-14,1.7421746093203546e-17,0.479163971291,1.4e-11,3.371e-15,4e-18,65.83,0.07,,,49.7,EXGAL,,,,2252119.549034123,1286090210348.904,1.209667526624835e+33,,,,,,,,aparthas,weakdetection,PROFILE:DoublePeak;POLARIZATION:NotSure;FREQUENCY:NotSure;TIME:NotSure;OBSERVATION:LowSN_0to100 
J0450-1248,B0447-12,04:50:08.781,0.003,-12:48:07.10,0.09,2.283031270545,4e-12,-5.3503e-16,3e-20,0.4380141493906399,7.674255802656231e-13,1.026489270523791e-16,5.755691851992185e-21,37.041,0.01,13.0,5.0,1.77,,,,,67608260.64258456,214571113731.45898,4.822250103163157e+31,,,,,,,,aparthas,perioddrift,PROFILE:Complicated;POLARIZATION:PAJump+FlatPA;FREQUENCY:FlatSpectrum;TIME:Stable;OBSERVATION:MediumSN_100to1000+UpdateEphem 
J0452-1759,B0450-18,04:52:34.1057,0.0001,-17:59:23.371,0.002,1.821695294426,7e-12,-1.909211e-14,5e-20,0.5489392232937018,2.1093398960920485e-12,5.753107046225423e-15,1.50667135435795e-20,39.903,0.003,11.1,0.3,0.4,,,,,1511777.3902458767,1798304940827.3445,1.3730596385623156e+33,,,,,,,,aparthas,differentphasesseemtoshowdifferentmodulationproperties,PROFILE:DoublePeak+withShoulders;POLARIZATION:NotSure;FREQUENCY:Scintillation+SteepSpectrum;TIME:Modulation;OBSERVATION:HighSN_Above1000 
J0455-6951,B0456-69,04:55:47.55,0.08,-69:51:34.3,0.6,3.1208774035945863,1.1687850921920744e-10,-9.94626373579687e-14,1.4609813652402826e-17,0.320422711526,1.2e-11,1.02119e-14,1.5e-18,94.89,0.14,,,49.7,EXGAL,,,,497144.6557665642,1830479631227.9292,1.2254523142096417e+34,,,,,,,,aparthas,LMCTelescopenotonsourceinoneobservation,PROFILE:SinglePeak+Symmetric+withShoulders+Narrow;POLARIZATION:NotSure;FREQUENCY:NotSure;TIME:Stable;OBSERVATION:LowSN_0to100 
J0456-7031,,04:56:02.5,0.3,-70:31:06.6,1.2,1.2497936696727607,1.561984216754106e-10,-5.732482075487568e-14,4.685952650262537e-17,0.80013207321,1e-10,3.67e-14,3e-17,100.3,0.3,,,49.7,EXGAL,,,,345431.27246184635,5483575787466.639,2.8283995713067163e+33,,,,,,,,aparthas,weakdetectionLMC,PROFILE:SinglePeak;POLARIZATION:NotSure;FREQUENCY:NotSure;TIME:NotSure;OBSERVATION:LowSN_0to100 
J0457-6337,,04:57:07.79,0.08,-63:37:30.4,0.9,0.40047870082060594,3.0472806064082474e-11,-3.3680469860301684e-17,4.811495694328812e-18,2.49701169613,1.9e-10,2.1e-16,3e-17,27.5,1.0,14.0,20.0,1.33,,,,,188394109.28482097,732773768045.6329,5.324971670403979e+29,,,,,,,,aparthas,weakdetection,PROFILE:DoublePeak;POLARIZATION:NotSure;FREQUENCY:NotSure;TIME:NotSure;OBSERVATION:LowSN_0to100 
J0459-0210,,04:59:51.9403,,-02:10:06.627,,0.88255323638,4e-12,-1.0891e-15,4e-20,1.1330761236588236,5.135446008022823e-12,1.3982535618344143e-15,5.1354460080229795e-20,21.02,0.03,18.0,9.0,0.16,,,,,12839236.27534886,1273715663385.3306,3.7946210069335144e+31,,,,,,,,aparthas,spikyemission,PROFILE:SinglePeak+withShoulders+withSteepTrailing;POLARIZATION:HighCircularPol+ComplicatedPA;FREQUENCY:SteepSpectrum;TIME:Modulation;OBSERVATION:MediumSN_100to1000 
J0502-6617,B0502-66,05:02:50.53,0.1,-66:17:58.8,0.9,1.4466516432369947,8.371203907521188e-11,-4.8322774556166056e-14,1.2556805861283028e-17,0.69125141818,4e-11,2.309e-14,6e-18,68.9,0.3,,,49.7,EXGAL,,,,474327.3200705909,4042778639954.8057,2.7597869943650215e+33,,,,,,,,aparthas,barelydetectedLMC,PROFILE:NotSure;POLARIZATION:NotSure;FREQUENCY:NotSure;TIME:NotSure;OBSERVATION:LowSN_0to100 
J0511-6508,,05:11:56.50,0.02,-65:08:36.5,0.3,3.104993869847428,7.712789545432086e-11,-1.986043307948762e-15,3.856394772716043e-17,0.322061827468,8e-12,2.06e-16,4e-18,25.66,0.08,16.0,12.0,0.82,,,,,24770688.03483647,260647290669.61313,2.4344967457942854e+32,,,,,,,,aparthas,profilecomplicatedalsolowsnr,PROFILE:Complicated;POLARIZATION:NotSure;FREQUENCY:NotSure;TIME:NotSure;OBSERVATION:LowSN_0to100 
J0519-6932,,05:19:46.917,0.012,-69:32:23.48,0.07,3.799224155274385,4.3302312546061096e-11,-1.005768379403179e-14,7.217052091010186e-18,0.263211634568,3e-12,6.968e-16,5e-19,119.4,0.5,,,49.7,EXGAL,,,,5984983.775735421,433367751193.1293,1.5085254175980787e+33,,,,,,,,aparthas,LMC,PROFILE:SinglePeak;POLARIZATION:NotSure;FREQUENCY:NotSure;TIME:NotSure;OBSERVATION:LowSN_0to100 
J0520-2553,,05:20:36.1838,,-25:53:12.2898,,4.138350423366,1.1e-11,-5.1536e-16,1.4e-19,0.2416421756731351,6.42300351704509e-13,3.0092355386766885e-17,8.17473174896648e-21,33.77,0.03,-12.0,10.0,2.38,,,,,127227968.43065597,86290788617.50215,8.419721118594278e+31,,,,,,,,aparthas,DifferentPAswingcurvesforthe2components,PROFILE:DoublePeak+withBridge;POLARIZATION:RVMLike+FlatPA;FREQUENCY:Scintillation;TIME:Stable;OBSERVATION:MediumSN_100to1000 
J0522-6847,,05:22:23.06,0.08,-68:47:02.2,0.3,1.4825095545050773,6.593503737596528e-11,-3.8961013585457885e-14,3.076968410878399e-17,0.67453190906,3e-11,1.7727e-14,1.4e-17,126.45,0.07,,,49.7,EXGAL,,,,602883.3521649989,3499200680662.9966,2.2802763575102164e+33,,,,,,,,aparthas,profiledisplaysmultiplecomponentsbutlowsnr,PROFILE:NotSure;POLARIZATION:NotSure;FREQUENCY:NotSure;TIME:NotSure;OBSERVATION:LowSN_0to100 
J0525+1115,B0523+11,05:25:56.4483,0.0011,11:15:19.08,0.07,2.8213711397405,1e-12,-5.85907e-16,4e-21,0.3544375945137003,1.2562600840465826e-13,7.360515770634811e-17,5.025040336186357e-22,79.418,0.013,20.1,0.2,1.84,,,,,76295262.24474524,163445885485.7758,6.526023644600197e+31,,,,,,,,aparthas,,PROFILE:DoublePeak+withSteepLeading+withBridge;POLARIZATION:ComplicatedPA;FREQUENCY:SteepSpectrum;TIME:Stable;OBSERVATION:MediumSN_100to1000 
J0529-6652,B0529-66,05:29:50.92,0.13,-66:52:38.2,0.9,1.0248789714893347,6.30226143720622e-11,-1.6290295438271877e-14,6.302261437206538e-18,0.97572496638,6e-11,1.5509e-14,6e-18,103.2,0.3,4.0,4.0,49.7,EXGAL,,,,996803.7403117508,3936457664915.6934,6.591151281046467e+32,,,,,,,,aparthas,perhapsnullingmightneedmoredatatoconfirm,PROFILE:DoublePeak;POLARIZATION:RVMLike;FREQUENCY:SteepSpectrum;TIME:Nulling;OBSERVATION:NeedMore+LowSN_0to100 
J0532-6639,,05:32:59.51,0.06,-66:39:37.3,0.5,1.555832405037748,7.261843417696629e-11,-1.2959969886115915e-14,3.146798814335208e-17,0.64274275093,3e-11,5.354e-15,1.3e-17,69.3,1.8,,,49.7,EXGAL,,,,1902062.8252988774,1877187939712.676,7.96024696604789e+32,,,,,,,,aparthas,weakdetectionLMC,PROFILE:DoublePeak;POLARIZATION:NotSure;FREQUENCY:NotSure;TIME:NotSure;OBSERVATION:LowSN_0to100 
J0533+0402,,05:33:25.82,0.01,04:02:00.5,0.4,1.0384025111313768,2.1565595502478983e-11,-1.725247640198319e-16,1.0782797751239492e-18,0.96301770198,2e-11,1.6e-16,1e-18,83.7,0.1,-71.0,11.0,2.17,,,,,95363092.20877063,397216339407.63715,7.072564364148723e+30,,,,,,,,aparthas,,PROFILE:SinglePeak+Symmetric+Narrow;POLARIZATION:RVMLike+PAJump;FREQUENCY:SteepSpectrum;TIME:Drifting;OBSERVATION:MediumSN_100to1000 
J0534-6703,,05:34:36.17,0.1,-67:03:48.8,0.8,0.5501866414192631,5.1459907867355496e-11,-1.2866490493540855e-13,1.8162320423788472e-17,1.81756503106,1.7e-10,4.2505e-13,6e-17,94.7,1.2,,,49.7,EXGAL,,,,67751.04142093581,28126453044187.82,2.794665809070205e+33,,,,,,,,aparthas,LMCScattered,PROFILE:SinglePeak+Narrow;POLARIZATION:NotSure;FREQUENCY:Scattering+SteepSpectrum;TIME:Stable;OBSERVATION:LowSN_0to100 
J0536-7543,B0538-75,05:36:30.82,0.01,-75:43:54.8,0.1,0.802660896055,5e-12,-3.722e-16,8e-19,1.245856132913541,7.760787519591412e-12,5.777130229583847e-16,1.241726003134626e-18,18.58,0.02,23.8,0.9,0.14,,,,,34168174.3136459,858499416553.0494,1.179419247869252e+31,,,,,,,,aparthas,nicepolarization,PROFILE:DoublePeak+Wide+withShoulders+withSteepTrailing;POLARIZATION:HighLinearPol+RVMLike+PAJump;FREQUENCY:Scintillation+SteepSpectrum;TIME:Modulation;OBSERVATION:HighSN_Above1000 
J0540-6919,B0540-69,05:40:11.202,0.009,-69:19:54.17,0.05,19.7746860321,7e-10,-1.8727175e-10,8e-17,0.050569703022172514,1.7901064046255068e-12,4.789090844006097e-13,2.0458359190964333e-19,146.5,0.2,,,49.7,EXGAL,,,,1673.0286000959475,4979912563178.756,1.461980575356997e+38,2.0,HE,,,,,,aparthas,LMCGiantpulses,PROFILE:NotSure;POLARIZATION:NotSure;FREQUENCY:NotSure;TIME:NotSure;OBSERVATION:LowSN_0to100 
J0540-7125,,05:40:30.8,0.3,-71:25:31.4,0.5,0.7775961516206588,1.8139673250457756e-09,-4.95817735512512e-16,4.8372462001220744e-17,1.286014595,3e-09,8.2e-16,8e-17,29.41,0.07,43.0,15.0,0.55,,,,,24848380.132001754,1039153855369.6464,1.5220744534559337e+31,,,,,,,,aparthas,lowsnrnotsureaboutanything,PROFILE:Complicated;POLARIZATION:NotSure;FREQUENCY:NotSure;TIME:NotSure;OBSERVATION:LowSN_0to100 
J0543-6851,,05:43:52.71,0.11,-68:51:25.3,0.9,1.4105283812410299,1.1937541885718642e-10,-7.838985838288575e-15,5.968770942859323e-17,0.70895418575,6e-11,3.94e-15,3e-17,131.0,4.0,,,49.7,EXGAL,,,,2850939.4028133745,1691247527613.7197,4.365172852336182e+32,,,,,,,,aparthas,LMC,PROFILE:NotSure;POLARIZATION:NotSure;FREQUENCY:NotSure;TIME:NotSure;OBSERVATION:LowSN_0to100 
J0555-7056,,05:55:01.85,0.12,-70:56:45.6,0.6,1.2079656846109295,1.0214267666382861e-10,-8.696719327377406e-15,4.377543285592657e-17,0.82783808575,7e-11,5.96e-15,3e-17,73.4,1.6,,,49.7,EXGAL,,,,2200721.9762620493,2247738630458.5503,4.147341410162847e+32,,,,,,,,aparthas,LMC,PROFILE:NotSure;POLARIZATION:NotSure;FREQUENCY:NotSure;TIME:NotSure;OBSERVATION:LowSN_0to100 
J0601-0527,B0559-05,06:01:58.9752,0.0002,-05:27:50.871,0.004,2.52544914331,3e-12,-8.30464e-15,3e-20,0.39596916954318157,4.703747496861507e-13,1.3020976537445312e-15,4.7037474968625235e-21,80.538,0.005,64.0,2.0,2.083318187562001,,,,,4818189.242584353,726611794052.48,8.279787195353791e+32,1.0,,,,,,,aparthas,,PROFILE:DoublePeak+withSteepTrailing;POLARIZATION:HighLinearPol+HighCircularPol+PAJump;FREQUENCY:FreqProfileEvol+SteepSpectrum;TIME:Stable;OBSERVATION:HighSN_Above1000 
J0621+0336,,06:21:11.221,0.005,+03:36:45.52,0.1,3.704333874448397,1.2349880508047285e-11,-9.93479276425137e-17,8.233253672031524e-19,0.2699540683678,9e-13,7.24e-18,6e-20,72.59,0.13,,,1.7,,,,,590768523.7702501,44736726231.39137,1.4528764094249403e+31,,,,,,,,aparthas,,PROFILE:SinglePeak+withShoulders+Narrow;POLARIZATION:NotSure;FREQUENCY:Scintillation;TIME:Stable;OBSERVATION:MediumSN_100to1000 
J0623+0340,,06:23:46.759,0.01,+03:40:06.8,0.4,1.6293024173701809,1.8582384570738207e-11,-2.345893320737336e-16,7.963879101744964e-20,0.613759600022,7e-12,8.837e-17,3e-20,54.0,4.0,,,1.38,,,,,110042254.73690405,235668509382.22272,1.5089320992783117e+31,,,,,,,,aparthas,apparentlythisisanextremenuller,PROFILE:NotSure;POLARIZATION:NotSure;FREQUENCY:NotSure;TIME:NotSure;OBSERVATION:NeedMore+LowSN_0to100 
J0624-0424,B0621-04,06:24:20.0271,,-04:24:50.4535,,0.9623930704244,1.3e-12,-7.69156e-16,1.1e-20,1.0390764758509907,1.4035838994669887e-12,8.304422905987933e-16,1.1876479149336271e-20,70.835,0.011,49.0,3.0,1.94,,,,,19824584.43230069,940001320149.1426,2.922312503132027e+31,,,,,,,,aparthas,perioddrifting,PROFILE:Complicated;POLARIZATION:PAJump+ComplicatedPA;FREQUENCY:Scintillation+SteepSpectrum;TIME:Modulation;OBSERVATION:HighSN_Above1000+UpdateEphem 
J0627+0649,,06:27:53.6286,0.0008,+06:49:54.13,0.05,2.88581493632407,1.0826306200724426e-10,-1.4140821483715442e-14,2.498378354013331e-17,0.346522567131,1.3e-11,1.698e-15,3e-18,86.6,0.08,,,1.79,,,,,3233403.2793845315,776219560848.7076,1.6110271271069706e+33,,,,,,,,aparthas,linearpolarizationseemsstrongeratlowerfrequencybands,PROFILE:Complicated;POLARIZATION:FlatPA+ComplicatedPA+FreqDependentPol;FREQUENCY:NotSure;TIME:Stable;OBSERVATION:MediumSN_100to1000 
J0627+0706,,06:27:44.181,0.004,+07:06:32.8,0.2,2.1013483223,3e-11,-1.31618e-13,3e-18,0.4758849303505593,6.7939940080427e-12,2.98070634450188e-14,6.793994008048029e-19,138.25,0.07,212.0,,2.29,,,,,252958.2206267562,3811189563241.7935,1.0918753750875544e+34,,,,,,,,aparthas,subbandedpolarizationplotsshowdifferentphase,PROFILE:SinglePeak+withInterpulse;POLARIZATION:HighLinearPol+ComplicatedPA;FREQUENCY:SteepSpectrum;TIME:Stable;OBSERVATION:LowSN_0to100 
J0628+0909,,06:28:36.183,0.005,+09:09:13.9,0.3,0.8055282493188061,1.946627281351862e-12,-3.55519029150895e-16,1.2977515209012413e-19,1.241421391299,3e-12,5.479e-16,2e-19,88.3,0.2,,,1.77,,,,,35899133.1097798,834565141268.0422,1.1305853755611908e+31,,RRAT,,,,,,aparthas,,PROFILE:SinglePeak+withShoulders+Narrow;POLARIZATION:NotSure;FREQUENCY:NotSure;TIME:Nulling;OBSERVATION:LowSN_0to100 
J0630-0046,,06:30:26.956,0.012,-00:46:05.85,0.17,1.469346135923838,1.5112846470080197e-11,-8.092065693501085e-15,4.102058327593199e-18,0.680574832268,7e-12,3.7481e-15,1.9e-18,97.3,0.5,,,2.1,,,,,2876939.655949202,1616194056886.567,4.69400179941022e+32,,,,,,,,aparthas,notsureifthisisabridge,PROFILE:DoublePeak+withShoulders;POLARIZATION:NotSure;FREQUENCY:Scintillation;TIME:Stable;OBSERVATION:LowSN_0to100 
